comment,polarity,sentiment,emotion,comment_category
wait saba saba monday next week,0.0,neutral,neutral,question or inquiry
lie would kill u security free😢,-0.4767,negative,anger,critical or negative feedback
ruto criminal,-0.5267,negative,anger,critical or negative feedback
peaceful democratic stable nation many political activist,0.6597,positive,joy,supportive or appreciative
slave master highlite african isues thing fire using child jounalists etc broadcast enjoy thing working u,0.2023,positive,joy,supportive or appreciative
ruto must go,0.0,neutral,sadness,critical or negative feedback
welp white ppl white house washinghton u.s.a😎,0.4588,positive,neutral,supportive or appreciative
kenyan gen z millennials playing stand right 👍🏾,0.2023,positive,neutral,supportive or appreciative
ruto must gooooo,0.0,neutral,sadness,critical or negative feedback
😂😂😂my country funny,0.7783,positive,surprise,sarcastic or humorous
sure speech 🤔🤔🤔,0.3182,positive,neutral,sarcastic or humorous
year kuna round 2😂😂😂😂,0.891,positive,neutral,sarcastic or humorous
kenyan president kenyan want solution unemployment give treasury power print ksh people money doe kenya dept labor provides job u ha many depts provide service people congress approves people unfortunately institution attack presently benevolent democratic party lost november election cruel ruling party u also daily protest lawsuit oppressor department provide alot good people democratic rule,0.4767,positive,sadness,supportive or appreciative
freedom fighting warrior threat neo colonialism kenya government employer,-0.1779,negative,fear,critical or negative feedback
usa real terrorist,-0.6908,negative,fear,critical or negative feedback
worsed president ever,0.0,neutral,disgust,critical or negative feedback
came everytime feel useless kenyan feel proud 😅,0.4215,positive,sadness,supportive or appreciative
taxation theft,0.0,neutral,anger,critical or negative feedback
ruto speech cnn kenyan already said want go,0.0772,positive,neutral,critical or negative feedback
looking month later ruto wa right moment although still thief,-0.5267,negative,neutral,critical or negative feedback
government taxin,0.0,neutral,neutral,critical or negative feedback
hey mpox cnn,0.0,neutral,neutral,supportive or appreciative
nota 1000😢,-0.4767,negative,neutral,critical or negative feedback
cnn bullshit,-0.5859,negative,anger,critical or negative feedback
everytime see video saw wrath god political class feel good watch video,0.6124,positive,anger,critical or negative feedback
people started protestors ended terorists,0.0,neutral,anger,critical or negative feedback
week later unfortunately people video never made alive locked nothing ha heard made alive abducted government police body showing country west especially u reconsider relationship dictator william ruto kenya ha sent haiti bring peace kenya police constantly voted top ten corrupt world according police corruption perception index far shot dead peaceful protester last week make one wonder really goal u haiti using tainted police force,-0.1828,negative,sadness,critical or negative feedback
😢the goverment killed youth saying mr speaker sir paliament ruto must go,-0.8225,negative,anger,critical or negative feedback
kenyan settle focus understanding president impact advanced violence demanding cost alot trying best uplift country,0.0516,positive,anger,informative or analytical
impressive look like baltimore,0.7003,positive,surprise,supportive or appreciative
stop calling criminal citizen 😢,-0.8271,negative,anger,critical or negative feedback
speaker sir legendary statement,0.0,neutral,neutral,supportive or appreciative
doe buggering pirate show wherever african issue discussed,0.0,neutral,neutral,critical or negative feedback
😢that aide de camp like even 😢,-0.5719,negative,neutral,critical or negative feedback
imf international mafia front cnn,0.0,neutral,sadness,critical or negative feedback
gay journalist,0.0,neutral,disgust,supportive or appreciative
ruto biden right hand man,0.4939,positive,neutral,supportive or appreciative
ruto cooked,0.0,neutral,neutral,supportive or appreciative
level disrespect question security even citizen even ruto go violent disrespectful behavior youth stop since got away next time invade state house invade government office invade people home one safe kenya,-0.5574,negative,anger,critical or negative feedback
also ready join demo ruto must go,0.5719,positive,neutral,supportive or appreciative
oga na english u dey speak whole country step aside u loose ur life,-0.3182,negative,neutral,critical or negative feedback
oh dear god may calm country kenya lord please excellency william ruto best u time,0.9432,positive,joy,supportive or appreciative
ruto criminal one criminal soon run write speech biden 😂,-0.5994,negative,neutral,sarcastic or humorous
want puppet usa european country world bank imf 🤬they leave africa alone,-0.2263,negative,neutral,critical or negative feedback
africa gen z woke,0.0,neutral,neutral,supportive or appreciative
